Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P57081|WDR4_HUMAN	P57081	WDR4_HUMAN	WDR4	412	false	false	Homo sapiens	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4	1:Experimental evidence at protein level	37.86	1.0000	0.9990	0.00000000000000	9	9	9	24	24	24	     0	     0	     0	15C(57.0214), 19C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|P57088|TMM33_HUMAN	P57088	TMM33_HUMAN	TMEM33	247	false	false	Homo sapiens	Transmembrane protein 33	1:Experimental evidence at protein level	39.27	1.0000	0.9990	0.00000000000000	9	9	9	35	35	35	     0	     0	     0	2C(57.0214), 3C(57.0214), N-term(42.0106)		
sp|P57105|SYJ2B_HUMAN	P57105	SYJ2B_HUMAN	SYNJ2BP	145	false	false	Homo sapiens	Synaptojanin-2-binding protein	1:Experimental evidence at protein level	64.83	1.0000	0.9990	0.00000000000000	7	7	7	26	26	26	     0	     0	     0			
sp|P57678|GEMI4_HUMAN	P57678	GEMI4_HUMAN	GEMIN4	1058	false	false	Homo sapiens	Gem-associated protein 4	1:Experimental evidence at protein level	22.12	1.0000	0.9990	0.00000000000000	15	15	15	44	44	44	     0	     0	     0	11C(57.0214), 17C(57.0214), 1C(57.0214), 2C(57.0214), 6C(57.0214), 8C(57.0214)		
sp|P57737|CORO7_HUMAN	P57737	CORO7_HUMAN	CORO7	925	false	false	Homo sapiens	Coronin-7	1:Experimental evidence at protein level	10.81	1.0000	0.9990	0.00000000000000	6	6	6	13	13	13	     0	     0	     0			
sp|P57740|NU107_HUMAN	P57740	NU107_HUMAN	NUP107	925	false	false	Homo sapiens	Nuclear pore complex protein Nup107	1:Experimental evidence at protein level	28.97	1.0000	0.9990	0.00000000000000	17	17	17	57	57	57	     0	     0	     0	17C(57.0214)		
sp|P57772|SELB_HUMAN	P57772	SELB_HUMAN	EEFSEC	596	false	false	Homo sapiens	Selenocysteine-specific elongation factor	1:Experimental evidence at protein level	15.44	1.0000	0.9990	0.00000000000000	6	6	6	11	11	11	     0	     0	     0	4C(57.0214)		
sp|P58107|EPIPL_HUMAN	P58107	EPIPL_HUMAN	EPPK1	5088	false	false	Homo sapiens	Epiplakin	1:Experimental evidence at protein level	32.08	1.0000	0.9990	0.00000000000000	26	19	19	99	61	61	     0	     0	     0	1C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|P58546|MTPN_HUMAN	P58546	MTPN_HUMAN	MTPN	118	false	false	Homo sapiens	Myotrophin	1:Experimental evidence at protein level	34.75	1.0000	0.9990	0.00000000000000	4	4	4	23	23	23	     0	     0	     0			
sp|P59998|ARPC4_HUMAN	P59998	ARPC4_HUMAN	ARPC4	168	false	false	Homo sapiens	Actin-related protein 2/3 complex subunit 4	1:Experimental evidence at protein level	46.43	1.0000	0.9990	0.00000000000000	7	7	7	32	32	32	     0	     0	     0	8C(57.0214), N-term(42.0106)		
sp|P60174|TPIS_HUMAN	P60174	TPIS_HUMAN	TPI1	249	false	false	Homo sapiens	Triosephosphate isomerase	1:Experimental evidence at protein level	83.94	1.0000	0.9990	0.00000000000000	17	17	17	279	279	279	     0	     0	     0	12C(57.0214), 14C(57.0214), 14M(15.9949), 2C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|P60228|EIF3E_HUMAN	P60228	EIF3E_HUMAN	EIF3E	445	false	false	Homo sapiens	Eukaryotic translation initiation factor 3 subunit E	1:Experimental evidence at protein level	50.34	1.0000	0.9990	0.00000000000000	19	19	19	88	88	88	     0	     0	     0			
sp|P60468|SC61B_HUMAN	P60468	SC61B_HUMAN	SEC61B	96	false	false	Homo sapiens	Protein transport protein Sec61 subunit beta	1:Experimental evidence at protein level	37.50	1.0000	0.9990	0.00000000000000	3	3	3	13	13	13	     0	     0	     0			
sp|P60484|PTEN_HUMAN	P60484	PTEN_HUMAN	PTEN	403	false	false	Homo sapiens	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	1:Experimental evidence at protein level	11.66	1.0000	0.9990	0.00000000000000	3	3	3	5	5	5	     0	     0	     0	13C(57.0214)		
sp|P60510|PP4C_HUMAN	P60510	PP4C_HUMAN	PPP4C	307	false	false	Homo sapiens	Serine/threonine-protein phosphatase 4 catalytic subunit	1:Experimental evidence at protein level	46.91	1.0000	0.9990	0.00000000000000	9	8	8	32	23	23	     0	     0	     0	1C(57.0214), 24C(57.0214), 3C(57.0214), 8C(57.0214)		
sp|P60660|MYL6_HUMAN	P60660	MYL6_HUMAN	MYL6	151	false	false	Homo sapiens	Myosin light polypeptide 6	1:Experimental evidence at protein level	80.13	1.0000	0.9990	0.00000000000000	9	6	9	64	41	64	     0	     0	     0	19C(57.0214), 1C(57.0214), 6C(57.0214), N-term(42.0106)		
sp|P60709|ACTB_HUMAN	P60709	ACTB_HUMAN	ACTB	375	false	false	Homo sapiens	Actin, cytoplasmic 1	1:Experimental evidence at protein level	90.67	1.0000	0.9990	0.00000000000000	27	1	27	2914	178	2914	     0	     0	     0	10M(15.9949), 12M(15.9949), 13M(15.9949), 14M(15.9949), 15M(15.9949), 16C(57.0214), 1C(57.0214), 1M(15.9949), 27M(15.9949), 2C(57.0214), 5M(15.9949), 6M(15.9949), 7M(15.9949), 8M(15.9949), N-term(42.0106)		
sp|P60842|IF4A1_HUMAN	P60842	IF4A1_HUMAN	EIF4A1	406	false	false	Homo sapiens	Eukaryotic initiation factor 4A-I	1:Experimental evidence at protein level	80.54	1.0000	0.9990	0.00000000000000	29	14	29	308	198	308	     0	     0	     0	10M(15.9949), 13C(57.0214), 13M(15.9949), 14M(15.9949), 16C(57.0214), 1M(15.9949), 27M(15.9949), 3M(15.9949), 5C(57.0214), 6M(15.9949), 7M(15.9949)		
sp|P60866|RS20_HUMAN	P60866	RS20_HUMAN	RPS20	119	false	false	Homo sapiens	Small ribosomal subunit protein uS10	1:Experimental evidence at protein level	42.86	1.0000	0.9990	0.00000000000000	5	5	5	58	58	58	     0	     0	     0	2C(57.0214)		
sp|P60891|PRPS1_HUMAN	P60891	PRPS1_HUMAN	PRPS1	318	false	false	Homo sapiens	Ribose-phosphate pyrophosphokinase 1	1:Experimental evidence at protein level	48.74	1.0000	0.9990	0.00000000000000	12	4	5	65	21	28	     0	     0	     0	2C(57.0214), 5C(57.0214), 7C(57.0214)		
sp|P60900|PSA6_HUMAN	P60900	PSA6_HUMAN	PSMA6	246	false	false	Homo sapiens	Proteasome subunit alpha type-6	1:Experimental evidence at protein level	58.13	1.0000	0.9990	0.00000000000000	12	12	12	80	80	80	     0	     0	     0	11C(57.0214), 1C(57.0214), 2C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|P60903|S10AA_HUMAN	P60903	S10AA_HUMAN	S100A10	97	false	false	Homo sapiens	Protein S100-A10	1:Experimental evidence at protein level	35.05	1.0000	0.9990	0.00000000000000	3	3	3	35	35	35	     0	     0	     0	N-term(42.0106)		
sp|P60953|CDC42_HUMAN	P60953	CDC42_HUMAN	CDC42	191	false	false	Homo sapiens	Cell division control protein 42 homolog	1:Experimental evidence at protein level	43.98	1.0000	0.9990	0.00000000000000	8	7	8	87	76	87	     0	     0	     0	1C(57.0214), 2C(57.0214), 4C(57.0214), 9C(57.0214)		
sp|P60981|DEST_HUMAN	P60981	DEST_HUMAN	DSTN	165	false	false	Homo sapiens	Destrin	1:Experimental evidence at protein level	67.27	1.0000	0.9990	0.00000000000000	11	10	10	52	45	45	     0	     0	     0	11C(57.0214), 1C(57.0214), 3C(57.0214), 5C(57.0214), N-term(42.0106)		
sp|P60983|GMFB_HUMAN	P60983	GMFB_HUMAN	GMFB	142	false	false	Homo sapiens	Glia maturation factor beta	1:Experimental evidence at protein level	48.59	1.0000	0.9990	0.00000000000000	6	5	6	23	20	23	     0	     0	     0	7C(57.0214), N-term(42.0106)		
sp|P61006|RAB8A_HUMAN	P61006	RAB8A_HUMAN	RAB8A	207	false	false	Homo sapiens	Ras-related protein Rab-8A	1:Experimental evidence at protein level	46.86	1.0000	0.9990	0.00000000000000	9	5	8	54	28	47	     0	     0	     0			
sp|P61009|SPCS3_HUMAN	P61009	SPCS3_HUMAN	SPCS3	180	false	false	Homo sapiens	Signal peptidase complex subunit 3	1:Experimental evidence at protein level	21.67	1.0000	0.9990	0.00000000000000	4	4	4	8	8	8	     0	     0	     0			
sp|P61011|SRP54_HUMAN	P61011	SRP54_HUMAN	SRP54	504	false	false	Homo sapiens	Signal recognition particle subunit SRP54	1:Experimental evidence at protein level	33.53	1.0000	0.9990	0.00000000000000	12	12	12	41	41	41	     0	     0	     0			
sp|P61019|RAB2A_HUMAN	P61019	RAB2A_HUMAN	RAB2A	212	false	false	Homo sapiens	Ras-related protein Rab-2A	1:Experimental evidence at protein level	57.08	1.0000	0.9990	0.00000000000000	10	6	10	39	25	39	     0	     0	     0	2C(57.0214), N-term(42.0106)		
sp|P61020|RAB5B_HUMAN	P61020	RAB5B_HUMAN	RAB5B	215	false	false	Homo sapiens	Ras-related protein Rab-5B	1:Experimental evidence at protein level	55.35	1.0000	0.9990	0.00000000000000	8	5	5	35	21	21	     0	     0	     0	21C(57.0214)		
sp|P61026|RAB10_HUMAN	P61026	RAB10_HUMAN	RAB10	200	false	false	Homo sapiens	Ras-related protein Rab-10	1:Experimental evidence at protein level	59.50	1.0000	0.9990	0.00000000000000	10	7	8	50	30	32	     0	     0	     0			
sp|P61077|UB2D3_HUMAN	P61077	UB2D3_HUMAN	UBE2D3	147	false	false	Homo sapiens	Ubiquitin-conjugating enzyme E2 D3	1:Experimental evidence at protein level	36.05	1.0000	0.9990	0.00000000000000	3	0	3	25	0	25	     0	     0	     0	10C(57.0214), 13C(57.0214), 6C(57.0214)		sp|P62837|UB2D2_HUMAN
sp|P61081|UBC12_HUMAN	P61081	UBC12_HUMAN	UBE2M	183	false	false	Homo sapiens	NEDD8-conjugating enzyme Ubc12	1:Experimental evidence at protein level	54.10	1.0000	0.9990	0.00000000000000	9	9	9	38	38	38	     0	     0	     0	17C(57.0214), 1C(57.0214), 2C(57.0214), 4C(57.0214)		
sp|P61086|UBE2K_HUMAN	P61086	UBE2K_HUMAN	UBE2K	200	false	false	Homo sapiens	Ubiquitin-conjugating enzyme E2 K	1:Experimental evidence at protein level	78.00	1.0000	0.9990	0.00000000000000	11	11	11	31	31	31	     0	     0	     0	14C(57.0214), 6C(57.0214)		
sp|P61088|UBE2N_HUMAN	P61088	UBE2N_HUMAN	UBE2N	152	false	false	Homo sapiens	Ubiquitin-conjugating enzyme E2 N	1:Experimental evidence at protein level	70.39	1.0000	0.9990	0.00000000000000	8	3	8	60	31	60	     0	     0	     0	11M(15.9949)		
sp|P61106|RAB14_HUMAN	P61106	RAB14_HUMAN	RAB14	215	false	false	Homo sapiens	Ras-related protein Rab-14	1:Experimental evidence at protein level	86.98	1.0000	0.9990	0.00000000000000	15	14	15	91	84	91	     0	     0	     0	2C(57.0214), 5C(57.0214), N-term(42.0106)		
sp|P61158|ARP3_HUMAN	P61158	ARP3_HUMAN	ACTR3	418	false	false	Homo sapiens	Actin-related protein 3	1:Experimental evidence at protein level	50.00	1.0000	0.9990	0.00000000000000	15	13	15	74	66	74	     0	     0	     0	10C(57.0214), 16C(57.0214), 28C(57.0214), 4C(57.0214), 8C(57.0214)		
sp|P61160|ARP2_HUMAN	P61160	ARP2_HUMAN	ACTR2	394	false	false	Homo sapiens	Actin-related protein 2	1:Experimental evidence at protein level	43.65	1.0000	0.9990	0.00000000000000	13	12	13	57	53	57	     0	     0	     0	1C(57.0214), 2C(57.0214), 4C(57.0214)		
sp|P61163|ACTZ_HUMAN	P61163	ACTZ_HUMAN	ACTR1A	376	false	false	Homo sapiens	Alpha-centractin	1:Experimental evidence at protein level	47.87	1.0000	0.9990	0.00000000000000	13	6	13	82	40	82	     0	     0	     0	2C(57.0214), N-term(42.0106)		
sp|P61201|CSN2_HUMAN	P61201	CSN2_HUMAN	COPS2	443	false	false	Homo sapiens	COP9 signalosome complex subunit 2	1:Experimental evidence at protein level	45.60	1.0000	0.9990	0.00000000000000	16	16	16	59	59	59	     0	     0	     0	6C(57.0214)		
sp|P61221|ABCE1_HUMAN	P61221	ABCE1_HUMAN	ABCE1	599	false	false	Homo sapiens	ATP-binding cassette sub-family E member 1	1:Experimental evidence at protein level	43.07	1.0000	0.9990	0.00000000000000	21	21	21	98	98	98	     0	     0	     0	1C(57.0214), 2C(57.0214), 3C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|P61224|RAP1B_HUMAN	P61224	RAP1B_HUMAN	RAP1B	184	false	false	Homo sapiens	Ras-related protein Rap-1b	1:Experimental evidence at protein level	71.74	1.0000	0.9990	0.00000000000000	10	1	3	45	5	14	     0	     0	     0	5C(57.0214), 9C(57.0214)		
sp|P61225|RAP2B_HUMAN	P61225	RAP2B_HUMAN	RAP2B	183	false	false	Homo sapiens	Ras-related protein Rap-2b	1:Experimental evidence at protein level	29.51	1.0000	0.9990	0.00000000000000	3	2	2	9	5	5	     0	     0	     0	8C(57.0214)		
sp|P61247|RS3A_HUMAN	P61247	RS3A_HUMAN	RPS3A	264	false	false	Homo sapiens	Small ribosomal subunit protein eS1	1:Experimental evidence at protein level	55.30	1.0000	0.9990	0.00000000000000	14	14	14	134	134	134	     0	     0	     0	2C(57.0214), 2M(15.9949), 3C(57.0214), 9M(15.9949)		
sp|P61254|RL26_HUMAN	P61254	RL26_HUMAN	RPL26	145	false	false	Homo sapiens	Large ribosomal subunit protein uL24	1:Experimental evidence at protein level	44.14	1.0000	0.9990	0.00000000000000	8	2	8	75	35	75	     0	     0	     0			
sp|P61289|PSME3_HUMAN	P61289	PSME3_HUMAN	PSME3	254	false	false	Homo sapiens	Proteasome activator complex subunit 3	1:Experimental evidence at protein level	63.39	1.0000	0.9990	0.00000000000000	12	12	12	78	78	78	     0	     0	     0	4C(57.0214)		
sp|P61313|RL15_HUMAN	P61313	RL15_HUMAN	RPL15	204	false	false	Homo sapiens	Large ribosomal subunit protein eL15	1:Experimental evidence at protein level	45.59	1.0000	0.9990	0.00000000000000	12	12	12	103	103	103	     0	     0	     0			
sp|P61326|MGN_HUMAN	P61326	MGN_HUMAN	MAGOH	146	false	false	Homo sapiens	Protein mago nashi homolog	1:Experimental evidence at protein level	46.58	1.0000	0.9990	0.00000000000000	8	1	8	24	6	24	     0	     0	     0	N-term(42.0106)		
sp|P61353|RL27_HUMAN	P61353	RL27_HUMAN	RPL27	136	false	false	Homo sapiens	Large ribosomal subunit protein eL27	1:Experimental evidence at protein level	36.76	1.0000	0.9990	0.00000000000000	4	4	4	43	43	43	     0	     0	     0			
sp|P61421|VA0D1_HUMAN	P61421	VA0D1_HUMAN	ATP6V0D1	351	false	false	Homo sapiens	V-type proton ATPase subunit d 1	1:Experimental evidence at protein level	22.22	1.0000	0.9990	0.00000000000000	6	6	6	11	11	11	     0	     0	     0	14C(57.0214), 15C(57.0214), 2C(57.0214)		
sp|P61457|PHS_HUMAN	P61457	PHS_HUMAN	PCBD1	104	false	false	Homo sapiens	Pterin-4-alpha-carbinolamine dehydratase	1:Experimental evidence at protein level	32.69	1.0000	0.9990	0.00000000000000	3	3	3	6	6	6	     0	     0	     0	15M(15.9949)		
sp|P61513|RL37A_HUMAN	P61513	RL37A_HUMAN	RPL37A	92	false	false	Homo sapiens	Large ribosomal subunit protein eL43	1:Experimental evidence at protein level	58.70	1.0000	0.9990	0.00000000000000	6	5	6	50	45	50	     0	     0	     0	10C(57.0214), 3C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|P61586|RHOA_HUMAN	P61586	RHOA_HUMAN	RHOA	193	false	false	Homo sapiens	Transforming protein RhoA	1:Experimental evidence at protein level	54.92	1.0000	0.9990	0.00000000000000	9	3	9	75	36	75	     0	     0	     0	2C(57.0214), 3C(57.0214), 9C(57.0214)		
sp|P61604|CH10_HUMAN	P61604	CH10_HUMAN	HSPE1	102	false	false	Homo sapiens	10 kDa heat shock protein, mitochondrial	1:Experimental evidence at protein level	48.04	1.0000	0.9990	0.00000000000000	5	5	5	70	70	70	     0	     0	     0			
sp|P61619|S61A1_HUMAN	P61619	S61A1_HUMAN	SEC61A1	476	false	false	Homo sapiens	Protein transport protein Sec61 subunit alpha isoform 1	1:Experimental evidence at protein level	27.73	1.0000	0.9990	0.00000000000000	10	6	10	39	27	39	     0	     0	     0	3C(57.0214)		
sp|P61758|PFD3_HUMAN	P61758	PFD3_HUMAN	VBP1	197	false	false	Homo sapiens	Prefoldin subunit 3	1:Experimental evidence at protein level	49.24	1.0000	0.9990	0.00000000000000	9	8	9	29	28	29	     0	     0	     0	9C(57.0214)		
sp|P61764|STXB1_HUMAN	P61764	STXB1_HUMAN	STXBP1	594	false	false	Homo sapiens	Syntaxin-binding protein 1	1:Experimental evidence at protein level	14.48	1.0000	0.9990	0.00000000000000	6	6	6	13	13	13	     0	     0	     0	10C(57.0214)		
sp|P61769|B2MG_HUMAN	P61769	B2MG_HUMAN	B2M	119	false	false	Homo sapiens	Beta-2-microglobulin	1:Experimental evidence at protein level	35.29	1.0000	0.9990	0.00000000000000	3	3	3	28	28	28	     0	     0	     0	6C(57.0214)		
sp|P61803|DAD1_HUMAN	P61803	DAD1_HUMAN	DAD1	113	false	false	Homo sapiens	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	1:Experimental evidence at protein level	28.32	1.0000	0.9990	0.00000000000000	3	3	3	12	12	12	     0	     0	     0	N-term(42.0106)		
sp|P61916|NPC2_HUMAN	P61916	NPC2_HUMAN	NPC2	151	false	false	Homo sapiens	NPC intracellular cholesterol transporter 2	1:Experimental evidence at protein level	33.11	1.0000	0.9990	0.00000000000000	3	3	3	13	13	13	     0	     0	     0	12C(57.0214), 22C(57.0214), 7C(57.0214)		
sp|P61923|COPZ1_HUMAN	P61923	COPZ1_HUMAN	COPZ1	177	false	false	Homo sapiens	Coatomer subunit zeta-1	1:Experimental evidence at protein level	41.81	1.0000	0.9990	0.00000000000000	6	6	6	34	34	34	     0	     0	     0	N-term(42.0106)		
sp|P61956|SUMO2_HUMAN	P61956	SUMO2_HUMAN	SUMO2	95	false	false	Homo sapiens	Small ubiquitin-related modifier 2	1:Experimental evidence at protein level	30.53	1.0000	0.9990	0.00000000000000	3	1	3	22	10	22	     0	     0	     0			
sp|P61960|UFM1_HUMAN	P61960	UFM1_HUMAN	UFM1	85	false	false	Homo sapiens	Ubiquitin-fold modifier 1	1:Experimental evidence at protein level	50.59	1.0000	0.9990	0.00000000000000	2	2	2	18	18	18	     0	     0	     0			
sp|P61962|DCAF7_HUMAN	P61962	DCAF7_HUMAN	DCAF7	342	false	false	Homo sapiens	DDB1- and CUL4-associated factor 7	1:Experimental evidence at protein level	18.13	1.0000	0.9990	0.00000000000000	5	5	5	14	14	14	     0	     0	     0	15C(57.0214), 3C(57.0214)		
sp|P61964|WDR5_HUMAN	P61964	WDR5_HUMAN	WDR5	334	false	false	Homo sapiens	WD repeat-containing protein 5	1:Experimental evidence at protein level	50.30	1.0000	0.9990	0.00000000000000	11	11	11	39	39	39	     0	     0	     0	13C(57.0214), 14C(57.0214), 9C(57.0214)		
sp|P61966|AP1S1_HUMAN	P61966	AP1S1_HUMAN	AP1S1	158	false	false	Homo sapiens	AP-1 complex subunit sigma-1A	1:Experimental evidence at protein level	25.32	1.0000	0.9990	0.00000000000000	4	2	4	14	8	14	     0	     0	     0	2C(57.0214)		
sp|P61970|NTF2_HUMAN	P61970	NTF2_HUMAN	NUTF2	127	false	false	Homo sapiens	Nuclear transport factor 2	1:Experimental evidence at protein level	74.80	1.0000	0.9990	0.00000000000000	6	6	6	54	54	54	     0	     0	     0	12C(57.0214), 17C(57.0214), 8C(57.0214)		
sp|P61978|HNRPK_HUMAN	P61978	HNRPK_HUMAN	HNRNPK	463	false	false	Homo sapiens	Heterogeneous nuclear ribonucleoprotein K	1:Experimental evidence at protein level	63.71	1.0000	0.9990	0.00000000000000	21	21	21	333	333	333	     0	     0	     0	29C(57.0214), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6M(15.9949), N-term(42.0106)		
sp|P61981|1433G_HUMAN	P61981	1433G_HUMAN	YWHAG	247	false	false	Homo sapiens	14-3-3 protein gamma	1:Experimental evidence at protein level	59.51	1.0000	0.9990	0.00000000000000	13	9	9	212	85	85	     0	     0	     0	6C(57.0214), N-term(42.0106)		
sp|P62070|RRAS2_HUMAN	P62070	RRAS2_HUMAN	RRAS2	204	false	false	Homo sapiens	Ras-related protein R-Ras2	1:Experimental evidence at protein level	25.98	1.0000	0.9990	0.00000000000000	4	3	4	10	7	10	     0	     0	     0			
sp|P62072|TIM10_HUMAN	P62072	TIM10_HUMAN	TIMM10	90	false	false	Homo sapiens	Mitochondrial import inner membrane translocase subunit Tim10	1:Experimental evidence at protein level	44.44	1.0000	0.9990	0.00000000000000	3	3	3	7	7	7	     0	     0	     0	5C(57.0214)		
sp|P62081|RS7_HUMAN	P62081	RS7_HUMAN	RPS7	194	false	false	Homo sapiens	Small ribosomal subunit protein eS7	1:Experimental evidence at protein level	52.06	1.0000	0.9990	0.00000000000000	8	8	8	105	105	105	     0	     0	     0			
sp|P62136|PP1A_HUMAN	P62136	PP1A_HUMAN	PPP1CA	330	false	false	Homo sapiens	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	1:Experimental evidence at protein level	67.88	1.0000	0.9990	0.00000000000000	17	5	8	116	17	39	     0	     0	     0	14C(57.0214), 2C(57.0214)		
sp|P62140|PP1B_HUMAN	P62140	PP1B_HUMAN	PPP1CB	327	false	false	Homo sapiens	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	1:Experimental evidence at protein level	69.72	1.0000	0.9990	0.00000000000000	17	8	17	122	45	122	     0	     0	     0	14C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214), N-term(42.0106)		
sp|P62191|PRS4_HUMAN	P62191	PRS4_HUMAN	PSMC1	440	false	false	Homo sapiens	26S proteasome regulatory subunit 4	1:Experimental evidence at protein level	50.91	1.0000	0.9990	0.00000000000000	16	15	15	80	74	74	     0	     0	     0	10C(57.0214), 7C(57.0214)		
sp|P62195|PRS8_HUMAN	P62195	PRS8_HUMAN	PSMC5	406	false	false	Homo sapiens	26S proteasome regulatory subunit 8	1:Experimental evidence at protein level	60.84	1.0000	0.9990	0.00000000000000	20	19	20	84	78	84	     0	     0	     0	11C(57.0214), 3C(57.0214), 8C(57.0214), N-term(42.0106)		
sp|P62241|RS8_HUMAN	P62241	RS8_HUMAN	RPS8	208	false	false	Homo sapiens	Small ribosomal subunit protein eS8	1:Experimental evidence at protein level	58.17	1.0000	0.9990	0.00000000000000	12	12	12	112	112	112	     0	     0	     0	12C(57.0214), 13C(57.0214), 2C(57.0214), 4C(57.0214)		
sp|P62244|RS15A_HUMAN	P62244	RS15A_HUMAN	RPS15A	130	false	false	Homo sapiens	Small ribosomal subunit protein uS8	1:Experimental evidence at protein level	56.92	1.0000	0.9990	0.00000000000000	7	7	7	44	44	44	     0	     0	     0	1C(57.0214), 1M(15.9949)		
sp|P62249|RS16_HUMAN	P62249	RS16_HUMAN	RPS16	146	false	false	Homo sapiens	Small ribosomal subunit protein uS9	1:Experimental evidence at protein level	52.05	1.0000	0.9990	0.00000000000000	9	9	9	85	85	85	     0	     0	     0			
sp|P62258|1433E_HUMAN	P62258	1433E_HUMAN	YWHAE	255	false	false	Homo sapiens	14-3-3 protein epsilon	1:Experimental evidence at protein level	71.37	1.0000	0.9990	0.00000000000000	17	15	15	357	243	243	     0	     0	     0	10M(15.9949), 2M(15.9949), 3C(57.0214), 4C(57.0214), 4M(15.9949), 8M(15.9949), N-term(42.0106)		
sp|P62263|RS14_HUMAN	P62263	RS14_HUMAN	RPS14	151	false	false	Homo sapiens	Small ribosomal subunit protein uS11	1:Experimental evidence at protein level	36.42	1.0000	0.9990	0.00000000000000	5	5	5	43	43	43	     0	     0	     0	12M(15.9949)		
sp|P62266|RS23_HUMAN	P62266	RS23_HUMAN	RPS23	143	false	false	Homo sapiens	Small ribosomal subunit protein uS12	1:Experimental evidence at protein level	47.55	1.0000	0.9990	0.00000000000000	5	5	5	48	48	48	     0	     0	     0	10C(57.0214)		
sp|P62269|RS18_HUMAN	P62269	RS18_HUMAN	RPS18	152	false	false	Homo sapiens	Small ribosomal subunit protein uS13	1:Experimental evidence at protein level	53.29	1.0000	0.9990	0.00000000000000	10	10	10	79	79	79	     0	     0	     0			
sp|P62277|RS13_HUMAN	P62277	RS13_HUMAN	RPS13	151	false	false	Homo sapiens	Small ribosomal subunit protein uS15	1:Experimental evidence at protein level	34.44	1.0000	0.9990	0.00000000000000	5	5	5	47	47	47	     0	     0	     0			
sp|P62280|RS11_HUMAN	P62280	RS11_HUMAN	RPS11	158	false	false	Homo sapiens	Small ribosomal subunit protein uS17	1:Experimental evidence at protein level	51.27	1.0000	0.9990	0.00000000000000	9	9	9	73	73	73	     0	     0	     0	13C(57.0214), 1C(57.0214), 2M(15.9949), 9C(57.0214)		
sp|P62304|RUXE_HUMAN	P62304	RUXE_HUMAN	SNRPE	92	false	false	Homo sapiens	Small nuclear ribonucleoprotein E	1:Experimental evidence at protein level	52.17	1.0000	0.9990	0.00000000000000	3	3	3	19	19	19	     0	     0	     0	2M(15.9949), 4C(57.0214)		
sp|P62306|RUXF_HUMAN	P62306	RUXF_HUMAN	SNRPF	86	false	false	Homo sapiens	Small nuclear ribonucleoprotein F	1:Experimental evidence at protein level	40.70	1.0000	0.9990	0.00000000000000	4	4	4	26	26	26	     0	     0	     0	11M(15.9949), 1C(57.0214)		
sp|P62312|LSM6_HUMAN	P62312	LSM6_HUMAN	LSM6	80	false	false	Homo sapiens	U6 snRNA-associated Sm-like protein LSm6	1:Experimental evidence at protein level	42.50	1.0000	0.9990	0.00000000000000	4	4	4	12	12	12	     0	     0	     0			
sp|P62314|SMD1_HUMAN	P62314	SMD1_HUMAN	SNRPD1	119	false	false	Homo sapiens	Small nuclear ribonucleoprotein Sm D1	1:Experimental evidence at protein level	54.62	1.0000	0.9990	0.00000000000000	5	5	5	47	47	47	     0	     0	     0			
sp|P62316|SMD2_HUMAN	P62316	SMD2_HUMAN	SNRPD2	118	false	false	Homo sapiens	Small nuclear ribonucleoprotein Sm D2	1:Experimental evidence at protein level	61.86	1.0000	0.9990	0.00000000000000	8	8	8	54	54	54	     0	     0	     0	2C(57.0214), 3M(15.9949), 4M(15.9949), 9C(57.0214), N-term(42.0106)		
sp|P62318|SMD3_HUMAN	P62318	SMD3_HUMAN	SNRPD3	126	false	false	Homo sapiens	Small nuclear ribonucleoprotein Sm D3	1:Experimental evidence at protein level	47.62	1.0000	0.9990	0.00000000000000	4	4	4	54	54	54	     0	     0	     0	10C(57.0214), 12C(57.0214), 7M(15.9949)		
sp|P62330|ARF6_HUMAN	P62330	ARF6_HUMAN	ARF6	175	false	false	Homo sapiens	ADP-ribosylation factor 6	1:Experimental evidence at protein level	48.57	1.0000	0.9990	0.00000000000000	5	5	5	22	22	22	     0	     0	     0	8C(57.0214)		
